emotion,dist_l,dist_r,dist_eyes,dist_mouth_nose,hght_mouth,wdth_mouth
sa,64.7765389628,69.4622199472,149.083869013,80,71,237
sa,66.4830805544,68.2641926635,150.013332741,57,93,243
n,77.3175271203,79.9061950039,155.051604313,56,90,237
su,82.1522975942,80.2246844805,153.029408938,90,121,222
su,85.5862138431,87.2811548961,154.003246719,80,142,215
su,84.480767042,84.8528137424,157.012738337,79,150,206
su,86.2844134244,88.3628881375,157.028659805,79,146,214
su,85.4751425854,87.3670418407,157.012738337,74,142,213
su,83.7257427557,83.7257427557,154.003246719,77,138,216
su,80.3056660517,79.4040301244,153.013071337,70,143,221
su,80.1560977094,79.1580697087,153.029408938,95,106,209
su,81.1541742611,78.3134726596,155.02902954,78,135,218
su,78.1600921187,77.4144689318,157.028659805,85,107,216
n,65.0,62.2012861603,153.003267939,84,64,236
h,49.1629942131,50.4876222455,158.003164525,61,76,280
a,59.4390444069,58.2494635168,160.0,77,64,241
n,49.3355855342,44.9221548904,156.012819986,81,62,217
su,71.0633520178,69.0651865993,152.029602381,75,106,263
n,80.1124210095,72.0624728968,153.003267939,81,67,226
n,56.3205113613,54.5893762558,154.012986465,83,61,223
n,53.0094331228,51.4781507049,154.012986465,82,65,227
n,55.1452627158,48.3735464898,153.003267939,83,65,232
n,56.1426753905,50.1597448159,152.029602381,83,63,228
n,52.1536192416,48.3735464898,155.003225773,81,64,224
n,55.0817574157,50.3587132481,151.013244452,83,65,226
n,51.1566222497,48.5077313425,151.013244452,84,64,230
n,56.0357029045,53.2353266168,153.013071337,83,65,226
n,54.2309874518,49.2544414241,151.029798384,83,67,229
n,53.2353266168,48.6621002424,152.013157325,85,63,223
n,51.0392006207,48.6621002424,152.003289438,83,66,228
n,55.0817574157,49.2544414241,153.0,85,64,232
n,53.0377224247,51.3517283059,157.028659805,84,64,226
n,53.0377224247,50.6359556047,155.012902689,85,65,228
n,53.0377224247,51.3517283059,154.029218007,84,66,234
n,52.038447325,49.3659801888,154.003246719,76,66,242
h,53.0377224247,50.2493781056,159.012578119,76,65,252
h,55.0090901579,51.1566222497,160.0,62,69,269
h,53.0094331228,49.0917508345,159.0,62,72,275
h,53.0377224247,52.1536192416,157.003184681,63,79,282
h,54.0370243444,52.2398315464,157.012738337,67,76,279
h,50.1597448159,51.1566222497,159.028299368,58,83,276
h,51.0881590978,50.3587132481,160.0,63,78,284
h,52.038447325,51.3517283059,157.003184681,55,79,282
h,52.1536192416,51.1566222497,160.012499512,65,73,282
h,51.0,49.0917508345,158.012657721,62,76,276
h,52.038447325,50.2493781056,158.0,62,76,275
h,51.1566222497,52.3450093132,160.012499512,59,73,276
n,53.4602656185,50.6359556047,165.0,79,67,254
a,57.3149195236,55.1089829338,159.0,78,67,241
a,56.8858506133,55.7853027239,159.003144623,78,65,240
a,57.2712842531,55.9016994375,160.003124969,78,63,231
a,63.2455532034,60.8769250209,161.00310556,79,66,239
a,53.1413210223,52.4976189936,160.0,75,63,226
a,58.8217646794,57.2800139665,159.0,79,69,233
a,54.7448627727,54.8178802947,160.0,76,62,237
a,54.5710545986,52.6307894678,161.0,77,69,232
a,59.4642749893,57.008771255,160.012499512,80,70,239
a,57.008771255,55.9732078766,161.0,80,67,241
a,61.3514466007,57.4891294072,157.003184681,77,67,240
a,59.6824932455,57.2712842531,155.003225773,78,65,238
a,59.4642749893,55.3172667438,158.012657721,75,66,228
a,56.7186036499,55.542776308,161.00310556,74,67,236
a,58.5491246732,57.4282160614,152.013157325,75,70,239
n,51.4781507049,49.7292670366,157.003184681,74,76,238
n,53.8516480713,50.2891638427,157.003184681,78,71,234
n,52.6307894678,48.2700735446,154.081147452,85,67,205
